Alloy,Melt Reference,Cast No.,Tube Dia (mm),Spec Code,Furnace,Charge Weight (kg),Density,No. of Tubes,Charge Weight (kg)2,Density3,No. of Tubes4,Charge Weight (kg)5,No. of Tubes6,JMAT Pro Density,Description,Notes,ML Categories
IN713C,M037642,A278/25,41,VAC198,RCA,8164,,684,8168,7.88,679,8164.41,648,7.84,Empty - 36 Tubes,1 extra frame,Cat 2
IN713C,M038184,F320/08,50,VAC198,RCF,8310,,504,8306,7.88,504,8306.62,472,7.85,"Empty - 32 Tubes, Half Full - 1 Tube",1 extra frame,Cat 3
IN713C,M037623,A278/18,50,VAC198,RCA,8310,,504,8306,7.88,504,8308.76,484,7.85,Empty - 28 Tubes,,Cat 3
IN713C,M038217,F320/09,41,VAC1150,RCF,8240,,684,8241,7.88,685,8239.11,648,7.89,Empty - 36 Tubes,1 extra frame,Cat 4
IN713LC,M038089,A279/28,50,VAC085,RCA,8310,Cat 2,504,8315,8,497,8309.46,484,7.92,Empty - 20 Tubes,,Cat 4
RENE77,M037939,E160/09,100,VAC1368 (CLASS B),RCE,8512,Cat 3,112,8505,7.91,119,8512.28,111,7.95048,Empty - 9 Tubes,Small Spillage,Cat 5
RENE77,M037792,A279/03,100,VAC1368 (CLASS B),RCA,8512,Cat 3,112,8505,7.91,119,8513.2,112,7.96,"Empty - 6 Tubes, Half Full - 2 Tubes",,Cat 5
RENE77,M037577,E159/06,100,VAC1368 (CLASS C),RCE,8512,Cat 3,112,8505,7.91,119,8492.15,110,7.96,"Empty - 9 Tubes, Half Full - 1 Tubes",,Cat 5
RENE77,M037619,E159/11,100,VAC1368 (CLASS C),RCE,8512,Cat 3,112,8505,7.91,119,8508.05,112,7.96,"Empty - 6 Tubes, Half Full - 2 Tubes",,Cat 5
RENE77,M037738,E159/16,100,VAC1368 (CLASS B),RCE,8512,Cat 3,112,8505,7.91,119,8512.7,112,7.96,"Empty - 6 Tubes, Half Full - 2 Tubes",,Cat 5
IN738LC,M037544,A278/29,100,VAC455,RCA,8600,,110,8574,8.11,117,8669.94,114,8.17,Empty - 6 Tubes,,Cat 11
COCRMO,M037566,D218/08,100,VAC407,RCD,8400,Cat 6,106,8399,8.3,112,8424.62,105,8.22,Empty - 15 Tubes,,Cat 12
COCRMO,M037615,D218/10,100,VAC407,RCD,8400,Cat 6,106,8399,8.3,112,8433.88,105,8.22,Empty - 15 Tubes,,Cat 12
COCRMO,M037635,D218/12,100,VAC407,RCD,8400,Cat 6,106,8399,8.3,112,8444.74,106,8.22,"Empty - 13 Tubes, Half Full - 1 Tube",,Cat 12
COCRMO,M037636,D218/13,100,VAC407,RCD,8400,Cat 6,106,8399,8.3,112,8431.18,105,8.22,Empty - 15 Tubes,,Cat 12
COCRMO,M037734,D218/14,100,VAC407,RCD,8400,Cat 6,106,8399,8.3,112,8437.45,105,8.22,Empty - 15 Tubes,,Cat 12
COCRMO,M037782,D218/15,100,VAC407,RCD,8400,Cat 6,106,8399,8.3,112,8445,105,8.22,Empty - 15 Tubes,,Cat 12
COCRMO,M038141,E161/03,100,VAC407,RCE,8400,Cat 6,106,8399,8.3,112,8452.56,106,8.22,Empty - 14 Tubes,,Cat 12
COCRMO,M037794,F319/02,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8411.84,105,8.22,"Empty - 14 Tubes, Half Full - 1 Tube",,Cat 12
COCRMO,M037833,F319/03,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8423.61,106,8.22,"Empty - 13 Tubes, Half Full - 1 Tube",,Cat 12
COCRMO,M037846,F319/04,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8433.52,106,8.22,"Empty - 13 Tubes, Half Full - 2 Tubes",,Cat 12
COCRMO,M037909,F319/06,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8436.8,107,8.22,Empty - 13 Tubes,,Cat 12
COCRMO,M037952,F319/09,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8420.75,109,8.22,Empty - 11 Tubes,,Cat 12
COCRMO,M038004,F319/10,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8441.72,105,8.22,Empty - 15 Tubes,1 extra frame,Cat 12
COCRMO,M038005,F319/11,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8424.8,105,8.22,Empty - 15 Tubes,1 extra frame,Cat 12
COCRMO,M038062,F319/12,100,VAC407,RCF,8400,Cat 6,106,8399,8.3,112,8437.29,105,8.22,Empty - 15 Tubes,,Cat 12
IN718,M038158,F320/02,125,VAC176,RCF,8900,Cat 5,83,8895,8.22,73,8918.07,73,8.23,"Empty - 2 Tubes, Half Full - 1 Tube",1 Extra Frame,Cat 12
RENE41,M037848,A279/11,100,VAC838,RCA,7100,,90,7082,8.25,95,7113.02,93,8.25,Empty - 12 Tubes,,Cat 13
RENE N4,M037850,E160/03,88,VAC1072,RCE,6750,Cat 8,115,,,115,6798.62,110,8.48,"Empty - 10 Tubes, Half Full - 1 Tube",,Cat 18
RENE125,M038021,D219/09,100,VAC677 (Class B),RCD,8510,Cat 8,106,8555,8.53,111,8562,105,8.49,,,Cat 19
RENE125,M038054,D219/17,100,VAC677 (Class B),RCD,8510,Cat 8,106,8555,8.53,111,8579.01,112,8.49,"Empty - 1 Tube, Half Full - 1 Tube",,Cat 19
RENE125,M038172,F320/06,100,VAC677 (Class B),RCF,8510,Cat 8,106,8555,8.53,111,8567.64,105,8.49,"Empty - 13 Tubes, Half Full - 2 Tubes",,Cat 19
RENE220,M037793,A279/04,88,VAC1408,RCA,8400,Cat 5,150,8427,8.17,149,8405.77,127,8.56,"Empty - 41 Tubes, Half Full - 2 Tubes",1 Extra Frame,Cat 20
RENE220,M037824,A279/07,88,VAC1408,RCA,8400,Cat 5,150,8427,8.17,149,8410.47,134,8.56,"Empty - 33 Tubes, Half Full - 1 Tube",1 Extra Frame,Cat 20
